region,lga,quarter,property_type,count,median_rent
Barwon South West,Colac-Otway,Jun-99,All Properties,99,115
Barwon South West,Colac-Otway,Sep-99,All Properties,80,113
Barwon South West,Colac-Otway,Dec-99,All Properties,83,115
Barwon South West,Colac-Otway,Mar-00,All Properties,96,115
Barwon South West,Colac-Otway,Jun-00,All Properties,93,120
Barwon South West,Colac-Otway,Sep-00,All Properties,104,120
Barwon South West,Colac-Otway,Dec-00,All Properties,71,120
Barwon South West,Colac-Otway,Mar-01,All Properties,93,120
Barwon South West,Colac-Otway,Jun-01,All Properties,82,130
Barwon South West,Colac-Otway,Sep-01,All Properties,89,130
Barwon South West,Colac-Otway,Dec-01,All Properties,71,130
Barwon South West,Colac-Otway,Mar-02,All Properties,86,140
Barwon South West,Colac-Otway,Jun-02,All Properties,91,145
Barwon South West,Colac-Otway,Sep-02,All Properties,97,150
Barwon South West,Colac-Otway,Dec-02,All Properties,102,150
Barwon South West,Colac-Otway,Mar-03,All Properties,116,160
Barwon South West,Colac-Otway,Jun-03,All Properties,100,158
Barwon South West,Colac-Otway,Sep-03,All Properties,110,160
Barwon South West,Colac-Otway,Dec-03,All Properties,109,160
Barwon South West,Colac-Otway,Mar-04,All Properties,104,163
Barwon South West,Colac-Otway,Jun-04,All Properties,92,163
Barwon South West,Colac-Otway,Sep-04,All Properties,100,170
Barwon South West,Colac-Otway,Dec-04,All Properties,103,165
Barwon South West,Colac-Otway,Mar-05,All Properties,113,170
Barwon South West,Colac-Otway,Jun-05,All Properties,113,170
Barwon South West,Colac-Otway,Sep-05,All Properties,122,170
Barwon South West,Colac-Otway,Dec-05,All Properties,83,180
Barwon South West,Colac-Otway,Mar-06,All Properties,102,175
Barwon South West,Colac-Otway,Jun-06,All Properties,112,180
Barwon South West,Colac-Otway,Sep-06,All Properties,113,170
Barwon South West,Colac-Otway,Dec-06,All Properties,97,175
Barwon South West,Colac-Otway,Mar-07,All Properties,105,180
Barwon South West,Colac-Otway,Jun-07,All Properties,93,175
Barwon South West,Colac-Otway,Sep-07,All Properties,97,185
Barwon South West,Colac-Otway,Dec-07,All Properties,93,185
Barwon South West,Colac-Otway,Mar-08,All Properties,126,195
Barwon South West,Colac-Otway,Jun-08,All Properties,124,200
Barwon South West,Colac-Otway,Sep-08,All Properties,124,195
Barwon South West,Colac-Otway,Dec-08,All Properties,117,200
Barwon South West,Colac-Otway,Mar-09,All Properties,129,200
Barwon South West,Colac-Otway,Jun-09,All Properties,120,210
Barwon South West,Colac-Otway,Sep-09,All Properties,125,200
Barwon South West,Colac-Otway,Dec-09,All Properties,111,210
Barwon South West,Colac-Otway,Mar-10,All Properties,119,220
Barwon South West,Colac-Otway,Jun-10,All Properties,128,210
Barwon South West,Colac-Otway,Sep-10,All Properties,125,220
Barwon South West,Colac-Otway,Dec-10,All Properties,119,210
Barwon South West,Colac-Otway,Mar-11,All Properties,126,220
Barwon South West,Colac-Otway,Jun-11,All Properties,142,223
Barwon South West,Colac-Otway,Sep-11,All Properties,128,230
Barwon South West,Colac-Otway,Dec-11,All Properties,128,230
Barwon South West,Colac-Otway,Mar-12,All Properties,124,225
Barwon South West,Colac-Otway,Jun-12,All Properties,122,230
Barwon South West,Colac-Otway,Sep-12,All Properties,134,240
Barwon South West,Colac-Otway,Dec-12,All Properties,122,248
Barwon South West,Colac-Otway,Mar-13,All Properties,127,240
Barwon South West,Colac-Otway,Jun-13,All Properties,109,250
Barwon South West,Colac-Otway,Sep-13,All Properties,149,240
Barwon South West,Colac-Otway,Dec-13,All Properties,140,250
Barwon South West,Colac-Otway,Mar-14,All Properties,143,250
Barwon South West,Colac-Otway,Jun-14,All Properties,128,248
Barwon South West,Colac-Otway,Sep-14,All Properties,151,250
Barwon South West,Colac-Otway,Dec-14,All Properties,140,258
Barwon South West,Colac-Otway,Mar-15,All Properties,142,250
Barwon South West,Colac-Otway,Jun-15,All Properties,121,260
Barwon South West,Colac-Otway,Sep-15,All Properties,144,260
Barwon South West,Colac-Otway,Dec-15,All Properties,146,260
Barwon South West,Colac-Otway,Mar-16,All Properties,159,270
Barwon South West,Colac-Otway,Jun-16,All Properties,140,280
Barwon South West,Colac-Otway,Sep-16,All Properties,158,265
Barwon South West,Colac-Otway,Dec-16,All Properties,145,260
Barwon South West,Colac-Otway,Mar-17,All Properties,129,280
Barwon South West,Colac-Otway,Jun-17,All Properties,153,280
Barwon South West,Colac-Otway,Sep-17,All Properties,131,280
Barwon South West,Colac-Otway,Dec-17,All Properties,123,285
Barwon South West,Colac-Otway,Mar-18,All Properties,138,280
Barwon South West,Colac-Otway,Jun-18,All Properties,125,285
Barwon South West,Colac-Otway,Sep-18,All Properties,136,300
Barwon South West,Colac-Otway,Dec-18,All Properties,99,300
Barwon South West,Colac-Otway,Mar-19,All Properties,120,315
Barwon South West,Colac-Otway,Jun-19,All Properties,116,320
Barwon South West,Colac-Otway,Sep-19,All Properties,114,310
Barwon South West,Colac-Otway,Dec-19,All Properties,116,305
Barwon South West,Colac-Otway,Mar-20,All Properties,130,320
Barwon South West,Colac-Otway,Jun-20,All Properties,99,310
Barwon South West,Colac-Otway,Sep-20,All Properties,120,340
Barwon South West,Colac-Otway,Dec-20,All Properties,113,325
Barwon South West,Colac-Otway,Mar-21,All Properties,89,340
Barwon South West,Colac-Otway,Jun-21,All Properties,100,340
Barwon South West,Colac-Otway,Sep-21,All Properties,94,350
Barwon South West,Colac-Otway,Dec-21,All Properties,101,380
Barwon South West,Colac-Otway,Mar-22,All Properties,83,380
Barwon South West,Colac-Otway,Jun-22,All Properties,83,380
Barwon South West,Colac-Otway,Sep-22,All Properties,83,395
Barwon South West,Colac-Otway,Dec-22,All Properties,85,400
Barwon South West,Colac-Otway,Mar-23,All Properties,86,423
Barwon South West,Colac-Otway,Jun-23,All Properties,109,410
Barwon South West,Colac-Otway,Sep-23,All Properties,108,435
Barwon South West,Colac-Otway,Dec-23,All Properties,88,405
Barwon South West,Colac-Otway,Mar-24,All Properties,104,428
Barwon South West,Colac-Otway,Jun-24,All Properties,98,423
Barwon South West,Colac-Otway,Sep-24,All Properties,100,435
Barwon South West,Colac-Otway,Dec-24,All Properties,91,430
Barwon South West,Colac-Otway,Mar-25,All Properties,85,460
Barwon South West,Colac-Otway,Jun-25,All Properties,98,450
Barwon South West,Colac-Otway,Sep-25,All Properties,78,450
Barwon South West,Corangamite,Jun-99,All Properties,36,93
Barwon South West,Corangamite,Sep-99,All Properties,45,90
Barwon South West,Corangamite,Dec-99,All Properties,47,100
Barwon South West,Corangamite,Mar-00,All Properties,52,100
Barwon South West,Corangamite,Jun-00,All Properties,39,100
Barwon South West,Corangamite,Sep-00,All Properties,55,100
Barwon South West,Corangamite,Dec-00,All Properties,31,100
Barwon South West,Corangamite,Mar-01,All Properties,43,100
Barwon South West,Corangamite,Jun-01,All Properties,24,110
Barwon South West,Corangamite,Sep-01,All Properties,45,110
Barwon South West,Corangamite,Dec-01,All Properties,41,110
Barwon South West,Corangamite,Mar-02,All Properties,34,110
Barwon South West,Corangamite,Jun-02,All Properties,39,110
Barwon South West,Corangamite,Sep-02,All Properties,54,118
Barwon South West,Corangamite,Dec-02,All Properties,41,120
Barwon South West,Corangamite,Mar-03,All Properties,52,120
Barwon South West,Corangamite,Jun-03,All Properties,39,125
Barwon South West,Corangamite,Sep-03,All Properties,60,120
Barwon South West,Corangamite,Dec-03,All Properties,47,130
Barwon South West,Corangamite,Mar-04,All Properties,47,125
Barwon South West,Corangamite,Jun-04,All Properties,47,140
Barwon South West,Corangamite,Sep-04,All Properties,48,135
Barwon South West,Corangamite,Dec-04,All Properties,63,140
Barwon South West,Corangamite,Mar-05,All Properties,66,150
Barwon South West,Corangamite,Jun-05,All Properties,61,140
Barwon South West,Corangamite,Sep-05,All Properties,90,150
Barwon South West,Corangamite,Dec-05,All Properties,62,150
Barwon South West,Corangamite,Mar-06,All Properties,61,170
Barwon South West,Corangamite,Jun-06,All Properties,61,160
Barwon South West,Corangamite,Sep-06,All Properties,73,160
Barwon South West,Corangamite,Dec-06,All Properties,73,160
Barwon South West,Corangamite,Mar-07,All Properties,79,165
Barwon South West,Corangamite,Jun-07,All Properties,57,175
Barwon South West,Corangamite,Sep-07,All Properties,66,165
Barwon South West,Corangamite,Dec-07,All Properties,69,160
Barwon South West,Corangamite,Mar-08,All Properties,75,165
Barwon South West,Corangamite,Jun-08,All Properties,74,163
Barwon South West,Corangamite,Sep-08,All Properties,72,180
Barwon South West,Corangamite,Dec-08,All Properties,63,170
Barwon South West,Corangamite,Mar-09,All Properties,84,175
Barwon South West,Corangamite,Jun-09,All Properties,75,180
Barwon South West,Corangamite,Sep-09,All Properties,89,200
Barwon South West,Corangamite,Dec-09,All Properties,78,190
Barwon South West,Corangamite,Mar-10,All Properties,94,202
Barwon South West,Corangamite,Jun-10,All Properties,49,200
Barwon South West,Corangamite,Sep-10,All Properties,75,200
Barwon South West,Corangamite,Dec-10,All Properties,68,195
Barwon South West,Corangamite,Mar-11,All Properties,79,190
Barwon South West,Corangamite,Jun-11,All Properties,82,200
Barwon South West,Corangamite,Sep-11,All Properties,88,205
Barwon South West,Corangamite,Dec-11,All Properties,68,200
Barwon South West,Corangamite,Mar-12,All Properties,85,210
Barwon South West,Corangamite,Jun-12,All Properties,69,200
Barwon South West,Corangamite,Sep-12,All Properties,78,200
Barwon South West,Corangamite,Dec-12,All Properties,56,215
Barwon South West,Corangamite,Mar-13,All Properties,73,220
Barwon South West,Corangamite,Jun-13,All Properties,58,200
Barwon South West,Corangamite,Sep-13,All Properties,70,213
Barwon South West,Corangamite,Dec-13,All Properties,72,210
Barwon South West,Corangamite,Mar-14,All Properties,78,225
Barwon South West,Corangamite,Jun-14,All Properties,70,220
Barwon South West,Corangamite,Sep-14,All Properties,74,210
Barwon South West,Corangamite,Dec-14,All Properties,57,230
Barwon South West,Corangamite,Mar-15,All Properties,75,220
Barwon South West,Corangamite,Jun-15,All Properties,67,230
Barwon South West,Corangamite,Sep-15,All Properties,70,220
Barwon South West,Corangamite,Dec-15,All Properties,71,235
Barwon South West,Corangamite,Mar-16,All Properties,70,250
Barwon South West,Corangamite,Jun-16,All Properties,80,230
Barwon South West,Corangamite,Sep-16,All Properties,93,240
Barwon South West,Corangamite,Dec-16,All Properties,65,245
Barwon South West,Corangamite,Mar-17,All Properties,94,240
Barwon South West,Corangamite,Jun-17,All Properties,62,238
Barwon South West,Corangamite,Sep-17,All Properties,73,235
Barwon South West,Corangamite,Dec-17,All Properties,55,240
Barwon South West,Corangamite,Mar-18,All Properties,73,250
Barwon South West,Corangamite,Jun-18,All Properties,65,245
Barwon South West,Corangamite,Sep-18,All Properties,66,240
Barwon South West,Corangamite,Dec-18,All Properties,60,250
Barwon South West,Corangamite,Mar-19,All Properties,72,260
Barwon South West,Corangamite,Jun-19,All Properties,52,263
Barwon South West,Corangamite,Sep-19,All Properties,77,260
Barwon South West,Corangamite,Dec-19,All Properties,58,260
Barwon South West,Corangamite,Mar-20,All Properties,64,300
Barwon South West,Corangamite,Jun-20,All Properties,58,273
Barwon South West,Corangamite,Sep-20,All Properties,73,280
Barwon South West,Corangamite,Dec-20,All Properties,51,290
Barwon South West,Corangamite,Mar-21,All Properties,61,310
Barwon South West,Corangamite,Jun-21,All Properties,35,285
Barwon South West,Corangamite,Sep-21,All Properties,43,315
Barwon South West,Corangamite,Dec-21,All Properties,54,343
Barwon South West,Corangamite,Mar-22,All Properties,52,320
Barwon South West,Corangamite,Jun-22,All Properties,38,360
Barwon South West,Corangamite,Sep-22,All Properties,49,340
Barwon South West,Corangamite,Dec-22,All Properties,47,360
Barwon South West,Corangamite,Mar-23,All Properties,41,380
Barwon South West,Corangamite,Jun-23,All Properties,45,350
Barwon South West,Corangamite,Sep-23,All Properties,47,400
Barwon South West,Corangamite,Dec-23,All Properties,36,363
Barwon South West,Corangamite,Mar-24,All Properties,38,360
Barwon South West,Corangamite,Jun-24,All Properties,53,400
Barwon South West,Corangamite,Sep-24,All Properties,38,385
Barwon South West,Corangamite,Dec-24,All Properties,47,380
Barwon South West,Corangamite,Mar-25,All Properties,41,400
Barwon South West,Corangamite,Jun-25,All Properties,40,405
Barwon South West,Corangamite,Sep-25,All Properties,41,400
Barwon South West,Glenelg,Jun-99,All Properties,125,110
Barwon South West,Glenelg,Sep-99,All Properties,118,100
Barwon South West,Glenelg,Dec-99,All Properties,121,100
Barwon South West,Glenelg,Mar-00,All Properties,151,100
Barwon South West,Glenelg,Jun-00,All Properties,129,110
Barwon South West,Glenelg,Sep-00,All Properties,136,108
Barwon South West,Glenelg,Dec-00,All Properties,127,105
Barwon South West,Glenelg,Mar-01,All Properties,107,105
Barwon South West,Glenelg,Jun-01,All Properties,115,110
Barwon South West,Glenelg,Sep-01,All Properties,109,120
Barwon South West,Glenelg,Dec-01,All Properties,86,120
Barwon South West,Glenelg,Mar-02,All Properties,121,120
Barwon South West,Glenelg,Jun-02,All Properties,104,120
Barwon South West,Glenelg,Sep-02,All Properties,119,120
Barwon South West,Glenelg,Dec-02,All Properties,112,125
Barwon South West,Glenelg,Mar-03,All Properties,110,130
Barwon South West,Glenelg,Jun-03,All Properties,97,140
Barwon South West,Glenelg,Sep-03,All Properties,109,135
Barwon South West,Glenelg,Dec-03,All Properties,113,135
Barwon South West,Glenelg,Mar-04,All Properties,126,137
Barwon South West,Glenelg,Jun-04,All Properties,93,150
Barwon South West,Glenelg,Sep-04,All Properties,103,145
Barwon South West,Glenelg,Dec-04,All Properties,86,150
Barwon South West,Glenelg,Mar-05,All Properties,105,150
Barwon South West,Glenelg,Jun-05,All Properties,97,160
Barwon South West,Glenelg,Sep-05,All Properties,110,153
Barwon South West,Glenelg,Dec-05,All Properties,104,160
Barwon South West,Glenelg,Mar-06,All Properties,125,160
Barwon South West,Glenelg,Jun-06,All Properties,94,170
Barwon South West,Glenelg,Sep-06,All Properties,109,170
Barwon South West,Glenelg,Dec-06,All Properties,94,180
Barwon South West,Glenelg,Mar-07,All Properties,107,180
Barwon South West,Glenelg,Jun-07,All Properties,98,175
Barwon South West,Glenelg,Sep-07,All Properties,114,178
Barwon South West,Glenelg,Dec-07,All Properties,98,180
Barwon South West,Glenelg,Mar-08,All Properties,123,195
Barwon South West,Glenelg,Jun-08,All Properties,127,195
Barwon South West,Glenelg,Sep-08,All Properties,123,200
Barwon South West,Glenelg,Dec-08,All Properties,125,200
Barwon South West,Glenelg,Mar-09,All Properties,124,180
Barwon South West,Glenelg,Jun-09,All Properties,111,190
Barwon South West,Glenelg,Sep-09,All Properties,113,190
Barwon South West,Glenelg,Dec-09,All Properties,105,190
Barwon South West,Glenelg,Mar-10,All Properties,146,200
Barwon South West,Glenelg,Jun-10,All Properties,117,200
Barwon South West,Glenelg,Sep-10,All Properties,145,200
Barwon South West,Glenelg,Dec-10,All Properties,124,200
Barwon South West,Glenelg,Mar-11,All Properties,160,200
Barwon South West,Glenelg,Jun-11,All Properties,109,200
Barwon South West,Glenelg,Sep-11,All Properties,158,210
Barwon South West,Glenelg,Dec-11,All Properties,134,210
Barwon South West,Glenelg,Mar-12,All Properties,129,230
Barwon South West,Glenelg,Jun-12,All Properties,104,210
Barwon South West,Glenelg,Sep-12,All Properties,119,210
Barwon South West,Glenelg,Dec-12,All Properties,97,220
Barwon South West,Glenelg,Mar-13,All Properties,155,230
Barwon South West,Glenelg,Jun-13,All Properties,133,220
Barwon South West,Glenelg,Sep-13,All Properties,161,220
